letter_number,amount
"3335",9075
"3323",127339
"3332",19584
"3309",8321
"3083",2948
"3153",96509
"3078",21655
"3077",636964
"3152",3500
"3253",4238
"3073",58710
"3075",25511
"3115",2078155
"3113",21917
"2986",9384053.45
"2980",8400
"3307",27489
"3306",37574
"3022",600170
"3137",401921
"3138",290709
"3144",37500
"3195",27921
"3142",6545
"3069",2011
"3060",88026
"3059",12947
"3296",25861
"3064",13921
"3104",17650
"3107",4999
"3076",57384
"3140",53968
"3249",4500
"3095",44532
"3172",2125
"3054",237559
"3171",340375
"3170",139275
"3240",20563
"3098",61478
"3048",77774
"3062",1898
"3071",4513
"3105",6525
"3187",4543
"3183",71410
"3230",67692
"3188",524092
"3150",44167
"3102",101329
"3166",1879399
"3174",2428
"3049",237559
"3057",1794
"3227",49792
"3058",101329
"3050",237559
"3124",1963
"3270",7011
"3157",165000
"2994",74677
"3251",7084
"3214",46639
"3123",3263
"3121",9357
"3204",75000
"3213",8904
"3212",41435
"3220",138061
"3256",2078155
"3273",2083178
"3127",2069676
"3271",1122813
"3081",101329
"3087",45206
"3264",86106
"3262",55469
"3263",3364238
"3085",4813
"3304",191448
"3305",13464
"3210",6788
"3209",7246
"3208",278330
"3216",569554
"3218",262084
"3206",69888
"3215",750
"3080",36703
"3024",34188
"3079",636964
"3118",948452
"3280",3979
"3282",36250
"3330",3578
"3325",2850
"3331",39963
"3341",4263
"3301",136767
"3342",7188
"3326",525830
"3347",218950
"3346",53750.93
"3350",2445
"3354",27875
"3349",10863
"3352",5257
"3344",192273
"3357",24736
"3343",488942
"3362",5683
"3363",3825
"3365",18725
"3313",21782
"3367",27763
"3366",579382
"3353",2279491
"3368",342307
"3315",42881
"3300",57865
"3380",2795261
"3333",33175
"3382",6296
"3383",3138
"3375",1280
"3393",50300
"3371",5400
"3338",44634
"3339",22982
"3340",46774
"3404",2650
"3403",13677
"3388",8138
"3364",4500
"3176",1927050
"3052",237559
"3233",3721
"3133",4273
"3232",27921
"3291",524092
"3136",2017488
"3056",78471
"3180",1938
"3289",524092
"3090",2016184
"3243",1114486
"3165",11880
"3131",8188
"3088",12629
"3141",52319
"3100",4013
"3277",7882
"3094",3932
"3092",34188
"3268",524092
"3266",356116.1
"3259",20600
"3120",11084
"3225",2250
"3267",329732
"3168",4500
"3179",72923
"3167",23750
"3119",56201
"3158",43834
"3177",60261
"3228",973716
"3178",82309
"3219",3334
"3091",23021
"3285",32300
"3294",28307
"3286",8169
"3292",19083
"3096",8382
"3260",132311
"3156",5348
"3015",12200
"2987",2719230
"3283",3150
"3169",48834
"3261",399488
"3237",60874
"3089",21240
"3161",6417
"3182",3289495
"1787",12964
"2955",722002
"2983",11250
"1786",92415
"1785",92415
"1791",552413
"1790",29877
"2949",615261
"1792",9843
"3036",258888
"1776",56251
"1775",67340
"1780",56030
"2948",87402
"1779",19817
"2999",224146
"1777",1628
"3000",13425
"1781",16408
"3021",136875
"2952",48175
"1838",2633
"1837",6878
"3023",49698
"1722",9500
"3031",14588
"3047",715292
"2946",34226
"1819",1152
"1817",3635
"2990",46959
"1821",2927
"2947",44167
"2991",69140
"2989",73125
"1814",7154
"1813",26659
"2971",248669
"2941",4907611
"2940",4690751
"1758",11074
"1746",375
"1865",8590
"1751",6552
"2969",3600
"3229",1669892
"1809",5740
"1796",1800
"1789",4941
"2950",25136
"1774",24998
"1773",2927
"1778",1494
"1782",21152
"3045",326106
"2953",58007
"2939",379335
"3030",4185
"3010",1746462
"2964",2888
"1765",85966
"2988",4986
"1764",23088
"1763",12170
"1769",20576
"1768",10288
"1766",3766
"1772",1230
"1771",6996
"1770",7580
"3034",10977
"1753",39172
"2932",17813
"2970",54467
"1755",375
"2961",45085
"3250",371944
"1761",1500
"2997",9419
"1759",12989
"2996",14670
"1743",16390
"2959",470300
"1863",5898
"1846",4674
"1725",5710
"1845",119340
"1724",5527
"1844",55498
"1723",15680
"1729",10188
"1849",1698
"1728",10188
"1848",5307
"1726",20239
"1847",5980
"1732",10188
"1731",10188
"1730",20031
"1851",3455
"1835",1200
"3155",19538
"1839",3286
"1836",250
"1840",1490
"1823",1637
"1827",22507
"1826",110017
"1832",39592
"2962",2394
"2967",8808
"1747",14898
"3005",9375
"1744",3270898
"1749",1600
"1748",14898
"2992",4713
"1752",366675
"2960",11175
"2958",20425
"1736",25960
"1735",25960
"1734",9600
"1733",129486
"1861",8616
"1738",25960
"1859",833
"1858",742
"1737",25960
"1862",3465
"1741",14898
"3027",18679
"2976",1440
"2944",3400
"3014",26926
"3012",2650
"3016",19247
"2979",1087608
"2978",310694
"2935",15875
"2982",2719230
"2973",155190
"2972",73380
"2981",118053
"2841",6226
"2837",2519
"2839",6034
"2847",4725
"2864",1775200
"2843",16675
"2842",16675
"2844",232775
"2826",483248
"2803",23835
"1714",8460
"1693",2164
"2845",16675
"2785",1300212
"2784",37032
"2861",25919
"2778",2981719
"2880",451229
"1689",3042
"1670",7164
"2894",38230
"1696",2825
"2889",19980
"2923",399849
"2922",399849
"2920",3263
"2780",24915
"2913",26321
"2918",19238
"2912",42321
"2916",316768
"2779",16715
"2865",3366792
"2858",219246
"2909",21225
"2878",139631
"2802",46892
"2904",35644
"2929",1440
"2862",25919
"2863",1450
"2859",7039
"2860",86910
"2800",29119
"2801",2323412
"2855",2138
"2822",1440
"2807",290415
"1686",3042
"1685",3498
"1692",2164
"1690",7657
"1684",160010
"1677",100531
"1676",7213
"1675",7947
"1674",5552
"1680",1262
"1679",23831
"1678",21471
"1673",14674
"2818",28744
"2798",29221
"1536",14594
"1542",34963
"1541",13405
"1611",148531
"1609",13390
